受理号,药品名称,注册申请人,承办日期,申请日期,公示日期,状态,拟定适应症（或功能主治）
CXSS2100008,贝伐珠单抗注射液,信达生物制药（苏州）有限公司,2021-01-13,2021-01-12,2021-01-20,已纳入,与信迪利单抗联合用于既往未接受过系统治疗的不可切除或转移性肝细胞癌
CXSS2100009,信迪利单抗注射液,信达生物制药（苏州）有限公司,2021-01-13,2021-01-12,2021-01-20,已纳入,与贝伐珠单抗（达攸同）联合用于既往未接受过系统治疗的不可切除或转移性肝细胞癌
JXSS2100004,注射用司妥昔单抗（Siltuximab for Injection）,百济神州（北京）生物科技有限公司,2021-01-20,2020-12-16,2021-01-11,已纳入,用于治疗人类免疫缺陷病毒（HIV）阴性和人类疱疹病毒8（HHV-8）阴性的多中心卡斯特曼病（多中心Castleman病）成年患者。
JXHS2000176,尼替西农口服混悬液,苏庇医药（广州）有限公司,2020-12-14,2020-12-24,2021-01-08,已纳入,结合酪氨酸和苯丙氨酸饮食限制，用于治疗成人和儿科患者（任何年龄阶段）的遗传性酪氨酸血症I型（HT-1）。
JXHS2000177,尼替西农胶囊,苏庇医药（广州）有限公司,2020-12-14,2020-12-24,2021-01-08,已纳入,结合酪氨酸和苯丙氨酸饮食限制，用于治疗成人和儿科患者（任何年龄阶段）的遗传性酪氨酸血症I型（HT-1）。
JXHS2000178,尼替西农胶囊,苏庇医药（广州）有限公司,2020-12-14,2020-12-24,2021-01-08,已纳入,结合酪氨酸和苯丙氨酸饮食限制，用于治疗成人和儿科患者（任何年龄阶段）的遗传性酪氨酸血症I型（HT-1）。
JXHS2000179,尼替西农胶囊,苏庇医药（广州）有限公司,2020-12-14,2020-12-24,2021-01-08,已纳入,结合酪氨酸和苯丙氨酸饮食限制，用于治疗成人和儿科患者（任何年龄阶段）的遗传性酪氨酸血症I型（HT-1）。
JXHS2000180,尼替西农胶囊,苏庇医药（广州）有限公司,2020-12-14,2020-12-24,2021-01-08,已纳入,结合酪氨酸和苯丙氨酸饮食限制，用于治疗成人和儿科患者（任何年龄阶段）的遗传性酪氨酸血症I型（HT-1）。
CXHS2000046,氟唑帕利胶囊,江苏恒瑞医药股份有限公司,2020-12-24,2020-12-13,2021-01-08,已纳入,本品用于铂敏感的复发性上皮性卵巢癌、输卵管癌或原发性腹膜癌在含铂化疗达到完全缓解或部分缓解后的维持治疗。
CXSS2000060,恩沃利单抗注射液,四川思路康瑞药业有限公司,2020-12-21,2020-12-25,2021-01-08,已纳入,既往接受过氟尿嘧啶类、奥沙利铂和伊立替康治疗的微卫星高度不稳定（MSI-H）晚期结直肠癌和既往至少一线标准治疗失败的MSI-H晚期胃癌及其他既往至少一线标准治疗失败的DNA错配修复功能缺陷（dMMR）晚期实体瘤。
JXSS2000058,依帕伐单抗注射液,苏庇医药（广州）有限公司,2020-12-10,2020-12-14,2020-12-25,已纳入,用于难治性、复发性或进展性疾病或对常规HLH疗法不耐受的原发性噬血细胞性淋巴组织细胞增多症（HLH）成人和儿童（新生儿及以上）患者的治疗。
JXSS2000059,依帕伐单抗注射液,苏庇医药（广州）有限公司,2020-12-10,2020-12-14,2020-12-25,已纳入,用于难治性、复发性或进展性疾病或对常规HLH疗法不耐受的原发性噬血细胞性淋巴组织细胞增多症（HLH）成人和儿童（新生儿及以上）患者的治疗。
JXSS2000060,依帕伐单抗注射液,苏庇医药（广州）有限公司,2020-12-10,2020-12-14,2020-12-25,已纳入,用于难治性、复发性或进展性疾病或对常规HLH疗法不耐受的原发性噬血细胞性淋巴组织细胞增多症（HLH）成人和儿童（新生儿及以上）患者的治疗。
JXSS2000054,纳武利尤单抗注射液,百时美施贵宝（中国）投资有限公司,2020-12-03,2020-12-04,2020-12-22,已纳入,本品联合伊匹木单抗用于治疗初治的不可切除的非上皮样型恶性胸膜间皮瘤成人患者。
JXSS2000056,伊匹木单抗注射液,百时美施贵宝（中国）投资有限公司,2020-12-03,2020-12-04,2020-12-22,已纳入,本品联合纳武利尤单抗用于治疗初治的不可切除的非上皮样型恶性胸膜间皮瘤成人患者。
JXHS2100002,奥拉帕利片,阿斯利康投资（中国）有限公司,,2020-12-10,2020-12-22,已纳入,携带BRCA1/2突变（胚系和/或体细胞系）且在既往新型激素药物治疗后出现疾病进展的转移性去势抵抗性前列腺癌成人患者的单药治疗（拟定）
CXHS1900002,海泽麦布,浙江海正药业股份有限公司,2020-12-11,2020-10-28,2020-12-11,已纳入,降血脂药物，用于治疗原发性高胆固醇血症。
CXHS1900003,海泽麦布片,浙江海正药业股份有限公司,2019-01-17,2020-10-28,2020-12-11,已纳入,降血脂药物，用于治疗原发性高胆固醇血症。
CXHS2000042,和乐布韦片,南京圣和药业股份有限公司,,2020-10-28,2020-11-23,已纳入,慢性丙型肝炎
JXSS2000053,纳武利尤单抗注射液,百时美施贵宝（中国）投资有限公司,,2020-11-16,2020-11-23,已纳入,本品联合伊匹木单抗用于治疗初治的不可切除的非上皮样型恶性胸膜间皮瘤成人患者。
JXSS2000055,伊匹木单抗注射,百时美施贵宝（中国）投资有限公司,,2020-11-16,2020-11-23,已纳入,本品联合纳武利尤单抗单抗用于治疗初治的不可切除的非上皮样型恶性胸膜间皮瘤成人患者。
JXSS2000049,奥法妥木单抗注射液,北京诺华制药有限公司,2020-11-05,2020-11-05,2020-11-23,已纳入,适用于治疗成人复发型多发性硬化（RMS），包括临床孤立综合征、复发缓解型多发性硬化和活动性继发进展型多发性硬化。
JXSS2000063,帕博利珠单抗注射液,默沙东研发（中国）有限公司,,2020-11-05,2020-11-12,已纳入,结直肠癌一线治疗
JXSS2000050,达雷妥尤单抗注射液（皮下注射）,西安杨森制药有限公司,2020-11-06,2020-11-06,2020-11-11,已纳入,达雷妥尤单抗注射液（皮下注射）适用于治疗原发性轻链型淀粉样变患者。
CXSS2000055,注射用卡瑞利珠单抗,苏州盛迪亚生物医药有限公司,,2020-10-30,2020-11-06,已纳入,本品联合顺铂和吉西他滨用于局部复发或转移性鼻咽癌患者的一线治疗
JXHS2000074,玛巴洛沙韦片,罗氏（中国）投资有限公司,2020-06-10,2020-06-10,2020-11-02,已纳入,用于12周岁及以上的流感患者，包括存在流感并发症高风险的患者。
JXHS2000075,玛巴洛沙韦片,罗氏（中国）投资有限公司,2020-06-10,2020-06-10,2020-11-02,已纳入,用于12周岁及以上的流感患者，包括存在流感并发症高风险的患者。
JXSS2000039,布罗索尤单抗注射液,协和发酵麒麟（中国）制药有限公司,2020-10-13,2020-10-15,2020-10-28,已纳入,肿瘤相关骨软化症。
JXSS2000040,布罗索尤单抗注射液,协和发酵麒麟（中国）制药有限公司,2020-10-13,2020-10-15,2020-10-28,已纳入,肿瘤相关骨软化症。
JXSS2000041,布罗索尤单抗注射液,协和发酵麒麟（中国）制药有限公司,2020-10-13,2020-10-15,2020-10-28,已纳入,肿瘤相关骨软化症。
JXSS2000019,达雷妥尤单抗注射液,西安杨森制药有限公司,2020-07-03,2020-07-03,2020-10-21,已纳入,本品适用于与来那度胺和地塞米松联合用药或与硼替佐米和地塞米松联合用药治疗既往至少接受过一线治疗的多发性骨髓瘤成人患者。
JXSS2000020,达雷妥尤单抗注射液,西安杨森制药有限公司,2020-07-03,2020-07-03,2020-10-21,已纳入,本品适用于与来那度胺和地塞米松联合用药或与硼替佐米和地塞米松联合用药治疗既往至少接受过一线治疗的多发性骨髓瘤成人患者。
CXHS2000010,甲苯磺酸多纳非尼片,苏州泽璟生物制药股份有限公司,2020-05-15,2020-05-15,2020-10-12,已纳入,本品用于治疗晚期（无法手术或转移性）肝细胞癌。
CXHS2000030,盐酸埃克替尼片,贝达药业股份有限公司,2020-09-24,2020-09-14,2020-10-12,已纳入,本品单药适用于II-IIIA期伴有表皮生长因子受体（EGFR）基因敏感突变非小细胞肺癌（NSCLC）术后辅助治疗。
JXHS2000148,利伐沙班颗粒,拜耳医药保健有限公司,2020-09-25,2020-08-28,2020-10-12,已纳入,用于足月新生儿、婴幼儿、儿童和18岁以下青少年患者开始标准抗凝治疗后的静脉血栓栓塞(VTE)的治疗及预防VTE的复发。
JXHS2000149,利伐沙班颗粒,拜耳医药保健有限公司,2020-09-25,2020-08-28,2020-10-12,已纳入,用于足月新生儿、婴幼儿、儿童和18岁以下青少年患者开始标准抗凝治疗后的静脉血栓栓塞(VTE)的治疗及预防VTE的复发。
JXHS2000150,甲磺酸奥希替尼片,阿斯利康投资（中国）有限公司,2020-09-30,2020-09-30,2020-10-12,已纳入,具有表皮生长因子受体（EGFR）敏感突变的非小细胞肺癌（NSCLC）成人患者肿瘤切除术后的辅助治疗。
JXHS2000151,甲磺酸奥希替尼片,阿斯利康投资（中国）有限公司,2020-09-30,2020-09-30,2020-10-12,已纳入,具有表皮生长因子受体（EGFR）敏感突变的非小细胞肺癌（NSCLC）成人患者肿瘤切除术后的辅助治疗。
JXSS2000035,度普利尤单抗注射液(Dupilumab Injection),赛诺菲（中国）投资有限公司,2020-09-30,2020-10-10,2020-10-12,已纳入,本品用于治疗外用处方药控制不佳或不建议使用外用处方药的12岁及以上青少年和成人中重度特应性皮炎。本品可与或不与外用皮质类固醇联合使用。
CXHS2000038,奥瑞巴替尼片,广州顺健生物医药科技有限公司,,2020-09-27,2020-09-29,已纳入,"拟用于任何酪氨酸激酶抑制剂耐药后并伴有 T315I 突变的
慢性髓性白血病慢性期或加速期的成年患者。
不推荐新诊断慢性髓性白血病患者使用。"
CXHS2000037,泽布替尼胶囊,百济神州（苏州）生物科技有限公司,,2020-09-27,2020-09-29,已纳入,适用于治疗成人华氏巨球蛋白血症（WM）患者
JXSS2000033,阿替利珠单抗注射液,罗氏（中国）投资有限公司,2020-09-23,2020-09-23,2020-09-29,已纳入,本品单药用于检测评估为≥50%肿瘤细胞PD-L1染色阳性（TC≥50%）或肿瘤浸润PD-L1阳性免疫细胞（IC）覆盖≥10%的肿瘤面积（IC≥10%）的表皮生长因子受体（EGFR）基因突变阴性和间变性淋巴瘤激酶（ALK）阴性的转移性非小细胞肺癌（NSCLC）患者的一线治疗。
JXSS2000048,迪妥昔单抗注射液,百济神州（北京）生物科技有限公司,,2020-09-21,2020-09-29,已纳入,"    迪妥昔单抗适用于治疗≥12月龄的高危神经母细胞瘤患者，这些患者既往接受过诱导化疗且至少获得部分缓解，并且随后进行过清髓性治疗和干细胞移植治疗；也适用于治疗伴或不伴有残留病灶的复发性或难治性神经母细胞瘤。在治疗复发性神经母细胞瘤之前，应采取适当措施使活动性进展性疾病保持稳定。
    针对具有复发/难治性疾病病史和一线治疗后尚未达到完全缓解的患者，应使用迪妥昔单抗联合白介素2（IL-2）治疗。
"
JXHS2000128,Vericiguat片,拜耳医药保健有限公司,2020-08-28,2020-08-20,2020-09-28,已纳入,见附件申请表。
JXHS2000129,Vericiguat片,拜耳医药保健有限公司,2020-08-27,2020-08-20,2020-09-28,已纳入,见附件申请表。
JXHS2000130,Vericiguat片,拜耳医药保健有限公司,2020-08-27,2020-08-20,2020-09-28,已纳入,见附件申请表。
JXSS2000034,度普利尤单抗注射液(Dupilumab Injection),赛诺菲（中国）投资有限公司,,2020-09-10,2020-09-28,已纳入,本品用于治疗外用处方药控制不佳或不建议使用外用处方药的12岁及以上青少年和成人中重度特应性皮炎。本品可与或不与外用皮质类固醇联合使用。
CXHS2000029,艾美酚胺替诺福韦片,江苏豪森药业集团有限公司,,2020-08-10,2020-09-17,已纳入,本品拟用于慢性乙型肝炎成人患者的治疗
CYHS2000381,麦格司他胶囊,苏州爱美津制药有限公司,2020-06-09,2020-06-09,2020-09-14,已纳入,本品用于成人及儿童C 型尼曼匹克病患者的进行性神经症状的治疗。
JXSS2000012,艾美赛珠单抗注射液,罗氏（中国）投资有限公司,2020-05-23,2020-05-27,2020-09-14,已纳入,适用于不存在凝血因子VIII抑制物的A型血友病患者（先天性凝血因子VIII缺乏）成人和儿童患者的常规预防性治疗以防止出血或降低出血发生的频率
JXSS2000013,艾美赛珠单抗注射液,罗氏（中国）投资有限公司,2020-05-23,2020-05-27,2020-09-14,已纳入,适用于不存在凝血因子VIII抑制物的A型血友病患者（先天性凝血因子VIII缺乏）成人和儿童患者的常规预防性治疗以防止出血或降低出血发生的频率
JXSS2000014,艾美赛珠单抗注射液,罗氏（中国）投资有限公司,2020-05-23,2020-05-27,2020-09-14,已纳入,适用于不存在凝血因子VIII抑制物的A型血友病患者（先天性凝血因子VIII缺乏）成人和儿童患者的常规预防性治疗以防止出血或降低出血发生的频率
JXSS2000015,艾美赛珠单抗注射液,罗氏（中国）投资有限公司,2020-05-23,2020-05-27,2020-09-14,已纳入,适用于不存在凝血因子VIII抑制物的A型血友病患者（先天性凝血因子VIII缺乏）成人和儿童患者的常规预防性治疗以防止出血或降低出血发生的频率
CXSS2000036,瑞基仑赛注射液（暂定）,上海药明巨诺生物科技有限公司,2020-06-30,2020-08-09,2020-09-09,已纳入,"本品用于治疗经过二线或以上全身性治疗后成人患者的复发或难治性大B细胞淋巴瘤，包括弥漫性大B细胞淋巴瘤非特指型、滤泡淋巴瘤转化的弥漫性大B细胞淋巴瘤、3b级滤泡淋巴瘤、原发纵膈大B细胞淋巴瘤、高级别B细胞淋巴瘤伴MYC和BCL-2和/或BCL-6重排（双打击/三打击淋巴瘤）。
使用限制：本品不适用于治疗原发性中枢神经系统淋巴瘤。"
CXHS2000023,盐酸米托蒽醌脂质体注射液,石药集团中诺药业（石家庄）有限公司,2020-08-27,2020-08-31,2020-09-07,已纳入,本品适用于既往至少经过一线标准治疗的复发或难治的外周T细胞淋巴瘤（PTCL）患者。
CXSS2000045,注射用卡瑞利珠单抗,苏州盛迪亚生物医药有限公司,,2020-08-27,2020-09-02,已纳入,本品用于既往接受过二线及以上化疗后疾病进展或不可耐受的晚期鼻咽癌患者的治疗。
JXHS2000131,普拉替尼胶囊（Pralsetinib Capsules),基石药业（苏州）有限公司,,2020-08-21,2020-08-26,已纳入,既往接受过含铂化疗的转染重排（RET）融合阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗。
CXSS2000044,注射用纬迪西妥单抗,荣昌生物制药（烟台）有限公司,,2020-08-20,2020-08-26,已纳入,复发/转移后至少接受过2个系统化疗的HER2过表达局部晚期或转移性胃癌（包括胃食管结合部癌），HER2过表达定义为HER2免疫组织化学检查结果为2+或3+。
CXHS2000016,阿兹夫定片,河南真实生物科技有限公司,2020-07-09,2020-07-08,2020-08-12,已纳入,用于治疗人类免疫缺陷病毒（Human Immunodeficiency Virus，HIV）感染的患者。
CXHS2000017,阿兹夫定片,河南真实生物科技有限公司,2020-07-09,2020-07-08,2020-08-12,已纳入,用于治疗人类免疫缺陷病毒（Human Immunodeficiency Virus，HIV）感染的患者。
CXHS2000022,ACC007片,江苏艾迪药业股份有限公司,2020-07-25,2020-07-29,2020-08-06,已纳入,治疗HIV-1感染
CXSS2000039,重组人源抗狂犬病毒单抗注射液,华北制药集团新药研究开发有限责任公司,2020-07-04,2020-07-06,2020-08-05,已纳入,用于狂犬病毒暴露患者的被动免疫
CXSS2000040,重组人源抗狂犬病毒单抗注射液,华北制药集团新药研究开发有限责任公司,2020-07-04,2020-07-06,2020-08-05,已纳入,用于狂犬病毒暴露患者的被动免疫
CXSS2000042,杰诺单抗注射液,玉溪嘉和生物技术有限公司,2020-07-22,2020-07-24,2020-07-28,已纳入,复发或难治性外周T细胞淋巴瘤
JXHS2000121,Ripretinib片,再鼎医药（上海）有限公司,,2020-07-20,2020-07-27,已纳入,本品适用于治疗既往接受过3种或以上酪氨酸激酶抑制剂（包括伊马替尼）的晚期胃肠道间质瘤（GIST）成人患者。
JXSS2000010,帕博利珠单抗注射液,默沙东研发（中国）有限公司,2020-05-01,2020-07-22,2020-07-27,已纳入,帕博利珠单抗用于肿瘤表达PD-L1 [联合阳性评分（CPS）≥ 20] 的转移性或不可切除的复发性头颈部鳞状细胞癌（HNSCC）患者的一线单药治疗。
JXHS2000033,富马酸吉瑞替尼片,安斯泰来制药（中国）有限公司,2020-04-11,2020-07-09,2020-07-21,已纳入,用于治疗携带FLT3突变的复发性或难治性急性髓系白血病（AML）成人患者。 
CXHS2000012,沃利替尼片,和记黄埔医药（上海）有限公司,2020-06-06,2020-06-18,2020-07-20,已纳入,本品适用于间质-上皮转化因子（MET）外显子14跳变的局部晚期或转移性的非小细胞肺癌
CXHS2000013,沃利替尼片,和记黄埔医药（上海）有限公司,2020-06-06,2020-06-18,2020-07-20,已纳入,本品适用于间质-上皮转化因子（MET）外显子14跳变的局部晚期或转移性的非小细胞肺癌
CXHS2000014,海曲泊帕乙醇胺片,江苏恒瑞医药股份有限公司,2020-06-18,2020-06-19,2020-07-20,已纳入,本品用于对免疫抑制治疗（IST）疗效不佳的重型再生障碍性贫血（SAA）患者的治疗。
CXHS2000015,海曲泊帕乙醇胺片,江苏恒瑞医药股份有限公司,2020-06-18,2020-06-19,2020-07-20,已纳入,本品用于对免疫抑制治疗（IST）疗效不佳的重型再生障碍性贫血（SAA）患者的治疗。
JXHS2000050,阿泊替尼片,基石药业（苏州）有限公司,2020-04-29,2020-04-29,2020-07-20,已纳入,适用于治疗携带血小板衍生生长因子受体α（PDGFRA）外显子18突变（包括PDGFRA D842V突变）的不可切除或转移性胃肠道间质瘤（GIST）成人患者。
JXHS2000051,阿泊替尼片,基石药业（苏州）有限公司,2020-04-29,2020-04-29,2020-07-20,已纳入,适用于治疗携带血小板衍生生长因子受体α（PDGFRA）外显子18突变（包括PDGFRA D842V突变）的不可切除或转移性胃肠道间质瘤（GIST）成人患者。
JXHS2000052,阿泊替尼片,基石药业（苏州）有限公司,2020-04-29,2020-04-29,2020-07-20,已纳入,适用于治疗携带血小板衍生生长因子受体α（PDGFRA）外显子18突变（包括PDGFRA D842V突变）的不可切除或转移性胃肠道间质瘤（GIST）成人患者。
CXSS2000016,特瑞普利单抗注射液,上海君实生物医药科技股份有限公司,2020-05-07,2020-05-11,2020-07-20,已纳入,适用于既往接受过二线及以上系统治疗失败的复发/转移性鼻咽癌的治疗。
CXSS2000017,特瑞普利单抗注射液,上海君实生物医药科技股份有限公司,2020-05-07,2020-05-11,2020-07-20,已纳入,适用于既往接受过二线及以上系统治疗失败的复发/转移性鼻咽癌的治疗。
CXSS2000018,特瑞普利单抗注射液,上海君实生物医药科技股份有限公司,2020-05-21,2020-05-21,2020-07-20,已纳入,于既往接受系统治疗失败或不可耐受的局部进展或转移性尿路上皮癌
CXSS2000019,特瑞普利单抗注射液,上海君实生物医药科技股份有限公司,2020-05-21,2020-05-21,2020-07-20,已纳入,于既往接受系统治疗失败或不可耐受的局部进展或转移性尿路上皮癌
无,帕米帕利胶囊,百济神州（苏州）生物科技有限公司,,2020-07-10,2020-07-17,已纳入,本品适用于存在已知致病或疑似致病的胚系BRCA突变的既往接受过两线或两线以上化疗的晚期卵巢癌、输卵管癌或原发性腹膜癌患者的治疗。
CYHS2000375,盐酸咪达唑仑糖浆,江苏恩华药业股份有限公司,2020-06-02,2020-07-09,2020-07-13,已纳入,本品主要用于儿科患者诊断或治疗性操作、或内窥镜手术或麻醉诱导前的镇静、抗焦虑和顺行性遗忘。
JXSS2000021,美泊利单抗注射液,葛兰素史克(中国)投资有限公司,2020-07-06,2020-07-06,2020-07-10,已纳入,本品适用于嗜酸性肉芽肿性多血管炎（EGPA）成人患者的治疗。
CYHS1900557,注射用盐酸苯达莫司汀,健进制药有限公司,2019-08-08,2020-04-21,2020-07-09,已纳入,适用于在利妥昔单抗或含利妥昔单抗方案治疗过程中或者治疗后病情进展的惰性B细胞非霍奇金淋巴瘤（NHL）。
CYHS1900558,注射用盐酸苯达莫司汀,健进制药有限公司,2019-08-08,2020-04-21,2020-07-09,已纳入,适用于在利妥昔单抗或含利妥昔单抗方案治疗过程中或者治疗后病情进展的惰性B细胞非霍奇金淋巴瘤（NHL）。
JXSS2000011,Satralizumab注射液,罗氏（中国）投资有限公司,2020-05-15,2020-05-15,2020-06-24,已纳入,Satralizumab适用于治疗患有视神经脊髓炎谱系疾病（NMOSD）的成年及青少年患者，可作为单药治疗或者与免疫抑制剂联合治疗。
CYHS1900087,琥珀酸美托洛尔缓释片,佛山德芮可制药有限公司,2019-03-04,2020-05-20,2020-06-23,已纳入,高血压、心绞痛、伴有左心室收缩功能异常的症状稳定的慢性心力衰竭。 
CYHS1900089,琥珀酸美托洛尔缓释片,佛山德芮可制药有限公司,2019-03-04,2020-05-20,2020-06-23,已纳入,高血压、心绞痛、伴有左心室收缩功能异常的症状稳定的慢性心力衰竭。 
CYHS1900090,琥珀酸美托洛尔缓释片,佛山德芮可制药有限公司,2019-03-04,2020-05-20,2020-06-23,已纳入,高血压、心绞痛、伴有左心室收缩功能异常的症状稳定的慢性心力衰竭。
CYHS1900442,米力农注射液,南京健友生化制药股份有限公司,2019-07-05,2020-05-13,2020-06-23,已纳入,适用于急性失代偿性心力衰竭患者的短期治疗。
CYHS1900443,米力农注射液,南京健友生化制药股份有限公司,2019-07-05,2020-05-13,2020-06-23,已纳入,适用于急性失代偿性心力衰竭患者的短期治疗。
CYHS1900444,米力农注射液,南京健友生化制药股份有限公司,2019-07-05,2020-05-13,2020-06-23,已纳入,适用于急性失代偿性心力衰竭患者的短期治疗。
CYHS1900739,塞来昔布胶囊,南京先声东元制药有限公司,2019-11-05,2020-05-24,2020-06-23,已纳入,1）用于缓解骨关节炎（OA）的症状和体征。 2）用于缓解成人类风湿关节炎（RA）的症状和体征。 3）用于治疗成人急性疼痛（AP）。 4）用于缓解强直性脊柱炎的症状和体征
CYHS2000050,盐酸美金刚片,宁波双成药业有限公司,2020-01-23,2020-05-20,2020-06-23,已纳入,适用于治疗中重度至重度阿茨海默型痴呆
CYHS2000051,盐酸美金刚片,宁波双成药业有限公司,2020-01-23,2020-05-20,2020-06-23,已纳入,适用于治疗中重度至重度阿茨海默型痴呆
CYHS2000207,恩替卡韦片,海南华益泰康药业有限公司,2020-03-21,2020-05-20,2020-06-23,已纳入,本品适用于病毒复制活跃，血清丙氨酸氨基转移酶（ALT）持续升高或肝脏组织学显示有活动性病变的慢性成人乙型肝炎的治疗（包括代偿及失代偿期肝病患者）。也适用于治疗2岁至小于18岁慢性HBV 感染代偿性肝病的核苷初治儿童患者，有病毒复制活跃和血清ALT水平持续升高的证据或中度至重度炎症和/或纤维化的组织学证据。
CYHS2000208,恩替卡韦片,海南华益泰康药业有限公司,2020-03-21,2020-05-20,2020-06-23,已纳入,"本品适用于病毒复制活跃，血清丙氨酸氨基转移酶（ALT）持续升高或肝脏组织学显示有活动性病变的慢性成人乙型肝炎的治疗（包括代偿及失代偿期肝病患者）。
也适用于治疗2岁至小于18岁慢性HBV 感染代偿性肝病的核苷初治儿童患者，有病毒复制活跃和血清ALT水平持续升高的证据或中度至重度炎症和/或纤维化的组织学证据。"
CYHS2000338,对乙酰氨基酚栓,浙江尔婴药品有限公司,2020-05-23,2020-05-28,2020-06-12,已纳入,用于儿童普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛。
CYHS2000341,对乙酰氨基酚栓,浙江尔婴药品有限公司,2020-05-23,2020-05-28,2020-06-12,已纳入,用于儿童普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛。
JYHS2000001,盐酸曲恩汀胶囊,佛山德芮可制药有限公司,2020-03-07,2020-03-09,2020-06-12,已纳入,本品适用于对青霉胺不能耐受者的肝豆状核变性病。
JXHS2000042,Risdiplam口服溶液用粉末,罗氏（中国）投资有限公司,2020-04-23,2020-04-23,2020-06-09,已纳入,脊髓性肌萎缩症
CYHS2000022,他氟前列素滴眼液,成都盛迪医药有限公司,2020-01-10,2020-02-19,2020-05-26,已纳入,降低开角型青光眼或高眼压症患者升高的眼压。
CYHS2000128,酒石酸伐尼克兰片,江苏豪森药业集团有限公司,2020-02-19,2020-04-16,2020-05-20,已纳入,成人戒烟
CYHS2000129,酒石酸伐尼克兰片,江苏豪森药业集团有限公司,2020-02-19,2020-04-16,2020-05-20,已纳入,成人戒烟
CYHS2000166,特立氟胺片,盛世泰科生物医药技术（苏州）有限公司,2020-03-05,2020-03-05,2020-05-20,已纳入,治疗复发型多发性硬化。
CYHS2000167,特立氟胺片,盛世泰科生物医药技术（苏州）有限公司,2020-03-05,2020-03-05,2020-05-20,已纳入,治疗复发型多发性硬化。
JXHS2000017,丁苯那嗪片,印度瑞迪博士实验室有限公司北京代表处,2020-02-29,2020-03-02,2020-05-20,已纳入,亨廷顿舞蹈症
JXHS2000018,丁苯那嗪片,印度瑞迪博士实验室有限公司北京代表处,2020-02-29,2020-03-02,2020-05-20,已纳入,亨廷顿舞蹈症
JXHS2000026,氨己烯酸散,上海奥科达生物医药科技有限公司,2020-03-18,2020-04-07,2020-05-20,已纳入,婴儿痉挛症
JXHS2000025,依非韦伦拉米夫定替诺福韦片,美信美达医药信息咨询（北京）有限责任公司,2020-03-18,2020-03-19,2020-05-14,已纳入,治疗成人和体重至少35kg儿童患者中的1型人免疫缺陷病毒感染（HIV-1）
JXHS2000032,左乙拉西坦注射用浓溶液,优时比贸易（上海）有限公司,2020-04-09,2020-04-09,2020-05-14,已纳入,本品用于成人及4岁以上儿童癫痫患者部分性发作（伴或不伴继发性全面性发作）的治疗。
JXHS2000027,达格列净片,阿斯利康投资（中国）有限公司,2020-03-18,2020-03-18,2020-05-13,已纳入,用于射血分数降低的心力衰竭（HFrEF）成人患者，降低心血管死亡和心力衰竭恶化的风险，并改善心力衰竭症状。
JXHS2000028,达格列净片,阿斯利康投资（中国）有限公司,2020-03-18,2020-03-18,2020-05-13,已纳入,用于射血分数降低的心力衰竭（HFrEF）成人患者，降低心血管死亡和心力衰竭恶化的风险，并改善心力衰竭症状。
CYHS1900843,注射用硼替佐米,健进制药有限公司,2019-12-20,2020-03-27,2020-05-12,已纳入,"多发性骨髓瘤
  本品可联合美法仑和泼尼松（MP方案）用于既往未经治疗的且不适合大剂量化疗和骨髓移植的多发性骨髓瘤患者的治疗；或单药用于至少接受过一种或一种以上治疗后复发的多发性骨髓瘤患者的治疗。
套细胞淋巴瘤
  本品可联合利妥昔单抗、环磷酰胺、多柔比星和泼尼松，用于既往未经治疗的并且不适合接受造血干细胞移植的套细胞淋巴瘤成人患者；或用于复发或难治性套细胞淋巴瘤患者的治疗，患者在使用本品前至少接受过一种治疗。
"
CXSS2000001,人凝血因子Ⅷ,四川远大蜀阳药业有限责任公司,2020-01-18,2020-04-03,2020-05-06,已纳入,本品对缺乏人凝血因子Ⅷ所致的凝血机能障碍具有纠正作用，主要用于防治甲型血友病和获得性凝血因子Ⅷ缺乏而致的出血症状及这类病人的手术出血治疗。
CYHS1900864,利马前列素片,北京泰德制药股份有限公司,2019-12-17,2019-12-18,2020-04-29,已纳入,为改善获得性腰椎管狭窄症主观症状（疼痛和麻木感）和行走能力。
CYHS1900755,盐酸普罗帕酮缓释胶囊,上海宣泰医药科技有限公司,2019-11-12,2019-11-22,2020-04-27,已纳入,延长偶发性（更多情况是阵发性或持续性）AF、但无结构性心脏病患者的有症状心房颤动（AF）复发的时间。
CYHS1900756,盐酸普罗帕酮缓释胶囊,上海宣泰医药科技有限公司,2019-11-12,2019-11-22,2020-04-27,已纳入,延长偶发性（更多情况是阵发性或持续性）AF、但无结构性心脏病患者的有症状心房颤动（AF）复发的时间。
CYHS1900757,盐酸普罗帕酮缓释胶囊,上海宣泰医药科技有限公司,2019-11-12,2019-11-22,2020-04-27,已纳入,延长偶发性（更多情况是阵发性或持续性）AF、但无结构性心脏病患者的有症状心房颤动（AF）复发的时间。
